time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1024,1,408,2,,,,,,,,,,,,
2048,2,756,2,0.0,0.2,0.005960574824712239,0.00039742747,0.5333327054977417,-1.9457474499940872,-0.0009665153629612178,4,0.0003,-0.02048710361123085,,
3072,3,1057,2,0.0,0.2,0.004083552805241197,0.00048183702,0.6598964333534241,-1.9448210299015045,-0.0008031192992348224,8,0.0003,-0.021584413945674896,324.0,0.0
4096,4,1321,3,0.0,0.2,0.003896736088790931,0.00069448847,0.27905386686325073,-1.9434109032154083,-0.0019282337161712348,12,0.0003,-0.02398516610264778,324.0,0.0
5120,5,1554,3,0.0,0.2,0.002404844999546185,0.0008614464,0.353992223739624,-1.9418189600110054,-0.001252467161975801,16,0.0003,-0.01874067820608616,324.0,0.0
6144,6,1759,3,0.0,0.2,0.0017810365752666257,0.00036697614,0.3941207528114319,-1.9394248649477959,-0.0003802300925599411,20,0.0003,-0.020815735682845116,324.0,0.0
7168,7,1944,3,0.0,0.2,0.0009829006958170794,0.00052560447,0.5879720449447632,-1.9358589351177216,-0.0008493501809425652,24,0.0003,-0.020927174016833305,324.0,0.0
8192,8,2108,3,0.0,0.2,0.0010697473953769077,0.00032573182,0.2787586450576782,-1.9312026128172874,-6.399903213605285e-06,28,0.0003,-0.019029902294278145,324.0,0.0
9216,9,2257,4,0.0,0.2,0.002318123049917631,0.0007327294,0.14284658432006836,-1.9294588565826416,-0.0005187845963519067,32,0.0003,-0.020498186349868774,324.0,0.0
10240,10,2387,4,0.0,0.2,0.0014456078788498417,0.00069886754,0.002077460289001465,-1.9311477988958359,-0.0007219226681627333,36,0.0003,-0.019922947511076927,324.0,0.0
11264,11,2509,4,0.0,0.2,0.00039807206849218346,0.00026037678,0.732109546661377,-1.935439445078373,-0.00032880058279260993,40,0.0003,-0.01998145878314972,324.0,0.0
12288,12,2622,4,0.0,0.2,0.0005280651184875751,0.00039488944,0.528350293636322,-1.9335509836673737,-0.0003816867247223854,44,0.0003,-0.019904648885130882,324.0,0.0
13312,13,2725,4,0.0,0.2,0.0006467748862633016,0.0019451806,0.04807329177856445,-1.9269303977489471,-0.002092902082949877,48,0.0003,-0.02492433600127697,324.0,0.0
14336,14,2821,5,0.0,0.2,0.00017292586198891513,0.00065368915,0.803067684173584,-1.912940889596939,0.00011864645057357848,52,0.0003,-0.019276464357972145,324.0,0.0
