time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,2,1024,435,,,,,,,,,,,,
2,2,2048,805,-0.019956884905695915,0.2,4,-1.9456818401813507,-0.001268737090867944,0.0003,0.0,0.0005255351,0.5073162317276001,0.006798964663175866,,
3,2,3072,1124,-0.015059521421790123,0.2,8,-1.944003865122795,-0.001397412590449676,0.0003,0.0,0.00088169816,0.24631786346435547,0.008294234692584723,324.0,0.0
4,2,4096,1401,-0.020798247307538986,0.2,12,-1.941351480782032,-0.00018257391639053822,0.0003,0.0,0.00029730558,0.6714881658554077,0.004485132114496082,324.0,0.0
5,3,5120,1641,-0.02280363067984581,0.2,16,-1.9413049817085266,-0.0014301593764685094,0.0003,0.0,0.0006554739,0.66135573387146,0.003139966902381275,324.0,0.0
6,3,6144,1851,-0.02052457258105278,0.2,20,-1.9424978271126747,-0.00048290328413713723,0.0003,0.0,0.00044975034,0.5915077924728394,0.0022672727282042615,311.11764705882354,0.04166664705882353
7,3,7168,2045,-0.024098290130496025,0.2,24,-1.9435492157936096,-0.001286824292037636,0.0003,0.0,0.0005722982,0.5336788892745972,0.003583531201002188,311.11764705882354,0.04166664705882353
8,3,8192,2221,-0.023582439869642258,0.2,28,-1.9423265904188156,-0.0010985257831634954,0.0003,0.0,0.0008732956,0.5580188035964966,0.0017912169350893237,314.875,0.029513875
9,3,9216,2376,-0.02242671139538288,0.2,32,-1.939678505063057,-0.0017195914406329393,0.0003,0.0,0.0010704172,0.7694597840309143,0.0008210247597162379,315.24,0.02833332
10,4,10240,2515,-0.02748180739581585,0.2,36,-1.93845284730196,-0.001919683039886877,0.0003,0.0,0.0014446129,0.8079391717910767,0.0006775170695618726,315.24,0.02833332
11,4,11264,2642,-0.0211340319365263,0.2,40,-1.9333071410655975,-0.0014152668009046465,0.0003,0.0,0.0019748409,0.7186781167984009,0.0010036774729087483,317.3636363636364,0.021464636363636363
12,4,12288,2757,-0.01616957224905491,0.2,44,-1.928406022489071,-0.0008829812577459961,0.0003,0.0,0.0012092758,0.8374621272087097,0.00034737570422294084,317.3636363636364,0.021464636363636363
13,4,13312,2865,-0.02524837665259838,0.2,48,-1.922209843993187,-0.0027100028964923695,0.0003,0.0,0.0027119436,0.7198486924171448,0.0003557238278517616,317.05,0.02430555
14,4,14336,2965,-0.02217726781964302,0.2,52,-1.9104376956820488,-0.0004365689237602055,0.0003,0.0,0.0006375151,0.5097055435180664,0.0006810387603763957,317.219512195122,0.02371273170731707
15,5,15360,3058,-0.017714837566018105,0.2,56,-1.9173937067389488,0.00024618415045551956,0.0003,0.0,0.00077424716,0.5270558595657349,0.00034808147029252723,317.3809523809524,0.023148142857142857
16,5,16384,3139,-0.029950348660349846,0.2,60,-1.906483918428421,-0.004109706525923684,0.0003,0.0,0.004442746,-0.05738222599029541,0.0003898655832017539,318.2083333333333,0.020254625
17,5,17408,3218,-0.02061612345278263,0.2,64,-1.872330404818058,-0.00037612358573824167,0.0003,0.0,0.003124332,0.7926603555679321,0.0002316950685781194,318.3265306122449,0.019841265306122447
18,5,18432,3293,-0.027565158903598785,0.2,68,-1.8587575852870941,-0.0014617358392570168,0.0003,0.0,0.0013232338,0.8159392476081848,0.00016617821893305518,319.0357142857143,0.01736110714285714
19,5,19456,3359,-0.022493461146950722,0.2,72,-1.8671173602342606,-0.0016780683217803016,0.0003,0.002197265625,0.0035431557,0.7714999914169312,0.000239450412664155,319.12280701754383,0.017056526315789473
20,5,20480,3422,-0.022825976833701134,0.2,76,-1.8717283234000206,-0.0019220963586121798,0.0003,0.0,0.001712206,-0.2789790630340576,0.00016883682110346854,317.8305084745763,0.02222222033898305
21,6,21504,3484,-0.016468601301312447,0.2,80,-1.8635054230690002,-0.00350300531135872,0.0003,0.020751953125,0.0037276803,0.19822359085083008,0.0007292435911949724,318.3125,0.020486109375
22,6,22528,3540,-0.020017070695757866,0.2,84,-1.8624288886785507,-0.0006320743123069406,0.0003,0.0,0.0011152397,0.7962440848350525,0.00022682009785057744,318.4,0.02017093846153846
23,6,23552,3595,-0.02697163261473179,0.2,88,-1.8795895352959633,-0.0020259125158190727,0.0003,0.0,0.0020852736,0.3687588572502136,0.0004655634256778285,318.94444444444446,0.019598763888888888
24,6,24576,3648,-0.020540127530694008,0.2,92,-1.8751722127199173,-0.0004959625075571239,0.0003,0.0,0.0014151109,0.29059654474258423,0.0004445053909876151,315.8243243243243,0.02946695945945946
25,6,25600,3691,-0.029917525127530098,0.2,96,-1.8681379780173302,-0.0046511746040778235,0.0003,0.0,0.0037701975,0.03411334753036499,0.0036657842429121956,316.0394736842105,0.028691513157894737
26,7,26624,3736,-0.029881149530410767,0.2,100,-1.833106353878975,-0.0015124689525691792,0.0003,0.0,0.0044495934,0.684928297996521,0.0002135455288225785,315.641975308642,0.03062413580246914
27,7,27648,3779,-0.0181115809828043,0.2,104,-1.809592328965664,0.00021756335627287626,0.0003,0.0,0.000907988,0.5752180814743042,0.0006178637850098312,315.7439024390244,0.03025067073170732
28,7,28672,3813,-0.019694937393069267,0.2,108,-1.7890812382102013,-0.0019323238811921328,0.0003,0.0,0.0027933514,0.72823566198349,0.0003066385161218932,316.39325842696627,0.027871404494382027
29,7,29696,3848,-0.022540366277098656,0.2,112,-1.739182397723198,-0.004691557929618284,0.0003,0.01416015625,0.008515198,0.9523163437843323,0.00028968750393687515,313.5,0.03786231521739131
30,7,30720,3880,-0.02114642783999443,0.2,116,-1.6621698290109634,-0.0032785125222289935,0.0003,0.0,0.0052956752,0.6244499683380127,0.0030768582655582577,313.61290322580646,0.037455193548387104
