time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/clip_range
1024,0,46.23076923076923,1209,1,0.5608461538461539,,,,,,,,,,
2048,1,60.93103448275862,2029,2,0.4067931034482759,0.009900569915771484,-1.9455153048038483,0.023701682221144438,-0.002370165617321618,0.0003,4,-0.014515204355120659,0.0,0.0009475098,0.2
3072,1,58.04255319148936,2630,3,0.43931914893617013,0.27670687437057495,-1.9422855004668236,0.013495229999534786,-0.0029382686770986766,0.0003,8,-0.02192647196352482,0.0,0.00130385,0.2
4096,1,60.967213114754095,3086,4,0.41359016393442616,0.168934166431427,-1.9338922426104546,0.020708948781248182,-0.001818812612327747,0.0003,12,-0.013450421392917633,0.0,0.0021601557,0.2
5120,1,60.935064935064936,3438,5,0.41392207792207797,0.18108177185058594,-1.927071750164032,0.00951592589262873,-0.0007428162352880463,0.0003,16,-0.013266365975141525,0.0,0.0008736304,0.2
6144,1,62.67741935483871,3718,6,0.3982688172043011,0.2943696975708008,-1.9229709431529045,0.01345456630224362,-0.0015792257618159056,0.0003,20,-0.02064165286719799,0.0,0.001244787,0.2
7168,1,59.24,3962,7,0.43483999999999995,0.2811397910118103,-1.9021254405379295,0.00882271071895957,-0.002807486627716571,0.0003,24,-0.024623598903417587,0.0,0.0037740073,0.2
8192,2,56.65,3182,8,0.4641499999999999,0.262315034866333,-1.8648450374603271,0.020005084108561277,-0.0021068436035420746,0.0003,28,-0.021649664267897606,0.0,0.0042054346,0.2
9216,2,58.57,3368,9,0.44787,0.11342394351959229,-1.8222365975379944,0.012828643433749676,-0.002369051973801106,0.0003,32,-0.014784468337893486,0.0,0.004396339,0.2
10240,2,57.79,3532,10,0.4558899999999999,-0.038443922996520996,-1.7586389854550362,0.008068208873737603,-0.002915911238233093,0.0003,36,-0.013670101761817932,0.0,0.007120939,0.2
11264,3,52.98,3683,11,0.5041800000000001,0.03800839185714722,-1.6369073316454887,0.00584713404532522,-0.005285003047902137,0.0003,40,-0.006057123653590679,0.056640625,0.014334632,0.2
12288,3,52.19,3815,12,0.51229,0.11314159631729126,-1.5454631000757217,0.01765586738474667,-0.0025455388822592795,0.0003,44,-0.021454304456710815,0.0,0.0024105774,0.2
13312,3,49.91,3933,13,0.53381,0.0727468729019165,-1.5678612366318703,0.020271681249141693,-0.0035651922808028758,0.0003,48,-0.01489091757684946,0.07421875,0.0051322277,0.2
14336,3,42.56,4039,14,0.60396,0.2995767593383789,-1.5571184605360031,0.014352765632793307,-0.001813605980714783,0.0003,52,-0.01212109625339508,0.0,0.0034652336,0.2
15360,3,44.69,4138,15,0.5817899999999999,0.1496681571006775,-1.4810266494750977,0.018093910010065883,-0.000778064044425264,0.0003,56,-0.005450945347547531,0.0,0.0024383387,0.2
16384,4,46.26,3666,16,0.5646599999999999,0.17912262678146362,-1.4749091565608978,0.011308761371765286,-0.0009038888092618436,0.0003,60,-0.012336055748164654,0.0,0.0012213646,0.2
17408,4,48.68,3762,17,0.53988,0.06274241209030151,-1.4835596159100533,0.013806990522425622,-0.001729184848954901,0.0003,64,-0.015077004209160805,0.0,0.0017035455,0.2
