time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/clip_fraction,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate
1,1024,62.23076923076923,0,0.3937692307692308,1254,,,,,,,,,,
2,2048,67.96153846153847,0,0.3421923076923077,2078,-0.07718038558959961,4,0.011704309494234622,-0.018103107810020447,0.0,0.0013977953,0.2,-0.004133572132559493,-1.9453035593032837,0.0003
3,3072,69.36585365853658,1,0.33180487804878045,2694,-0.007112979888916016,8,0.00492462664260529,-0.023420944809913635,0.0,0.0018638071,0.2,-0.002487171586835757,-1.941106654703617,0.0003
4,4096,68.19298245614036,1,0.3494210526315789,3147,-0.04429364204406738,12,0.0069744784268550575,-0.028150632977485657,0.0,0.004393647,0.2,-0.004405201849294826,-1.9291761666536331,0.0003
5,5120,68.44285714285714,1,0.34687142857142855,3509,0.09684276580810547,16,0.010421196988318115,-0.024777714163064957,0.0,0.005636934,0.2,-0.0024545349879190326,-1.8986757770180702,0.0003
6,6144,67.88636363636364,1,0.3549318181818182,3797,0.047640442848205566,20,0.00791757128899917,-0.02612798474729061,0.0,0.006998837,0.2,-0.0040939428872661665,-1.8542757406830788,0.0003
7,7168,67.92,1,0.35372,4054,0.010512948036193848,24,0.00957544764969498,-0.02020501159131527,0.0,0.004254063,0.2,-0.0018608108948683366,-1.7999981120228767,0.0003
8,8192,67.13,2,0.36583000000000004,3332,0.053297460079193115,28,0.010207688639638945,-0.017273282632231712,0.0,0.0026204688,0.2,-0.0019776934350375086,-1.7634179294109344,0.0003
9,9216,60.03,2,0.43573,3535,0.007513105869293213,32,0.0087213869264815,-0.017181215807795525,0.0,0.003464,0.2,-0.002560057124355808,-1.7420674115419388,0.0003
10,10240,59.24,2,0.44284000000000007,3721,0.16699117422103882,36,0.021023647510446608,-0.016971031203866005,0.0,0.004337522,0.2,-0.004563395326840691,-1.7453426122665405,0.0003
11,11264,55.83,2,0.47553000000000006,3879,0.16592305898666382,40,0.012833543703891337,-0.01353565976023674,0.0,0.0014875479,0.2,-0.0004904833185719326,-1.7247282043099403,0.0003
12,12288,53.14,3,0.50174,4029,0.1616002321243286,44,0.01462523709051311,-0.012040233239531517,0.0,0.001439505,0.2,-0.0015969309024512768,-1.7053488790988922,0.0003
13,13312,48.86,3,0.54426,4166,0.2905063033103943,48,0.012034808460157365,-0.01902153715491295,0.0,0.0021711765,0.2,-0.001709965115878731,-1.6908932328224182,0.0003
14,14336,48.14,3,0.5517400000000001,4289,0.27280163764953613,52,0.016107352101244032,-0.017639189958572388,0.036376953125,0.012645803,0.2,-0.00778856166289188,-1.6106178686022758,0.0003
15,15360,44.59,3,0.5876899999999999,4389,0.2670819163322449,56,0.0161740361363627,-0.016253024339675903,0.0087890625,0.0043076184,0.2,-0.003161954926326871,-1.4769902154803276,0.0003
16,16384,40.27,4,0.62957,3907,0.22540569305419922,60,0.017165639146696776,-0.011622007936239243,0.0,0.00266731,0.2,-0.0021642716747010127,-1.4402144998311996,0.0003
17,17408,38.69,4,0.64279,4006,0.21558374166488647,64,0.018757468089461327,-0.01066181156784296,0.024169921875,0.006137672,0.2,-0.00501709824311547,-1.3958105817437172,0.0003
18,18432,38.82,4,0.6406200000000001,4101,0.12820512056350708,68,0.017644721490796655,-0.005996215157210827,0.0,0.002228194,0.2,-0.0008854295592755079,-1.3270571529865265,0.0003
19,19456,38.65,4,0.64115,4190,0.060345232486724854,72,0.018520537356380373,-0.005909688770771027,0.0,0.0004942679,0.2,-0.000492651408421807,-1.3050966784358025,0.0003
20,20480,34.82,4,0.67962,4273,0.17192238569259644,76,0.017940138233825564,-0.008711043745279312,0.0029296875,0.0026185291,0.2,-0.002971704350784421,-1.2864796966314316,0.0003
21,21504,33.71,4,0.6926099999999998,4352,0.19037854671478271,80,0.019899767241440713,-0.005341223441064358,0.0,0.0012362022,0.2,-1.960560621228069e-05,-1.2771681547164917,0.0003
